DDPG Success Rate,SAC Success Rate,TD3 Success Rate,DDPG Cumulative Reward,SAC Cumulative Reward,TD3 Cumulative Reward,DDPG Average Reward,SAC Average Reward,TD3 Average Reward
0,0,0,-1643.991,-1725.6969,-1564.685,[-1643.991],[-1725.6969],[-1564.685]
0,0,0,-3184.7437,-2809.6382,-2928.27,[-1540.7526],[-1083.9412],[-1363.5848]
